Round,Date,HomeTeam,AwayTeam,FTHG,FTAG,EGHT,EGAT,BPHT,BPAT,GAHT,GAAT,SoGHT,SoGAT,FKHT,FKAT,CKHT,CKAT,OHT,OAT,THT,TAT,GSHT,GSAT,FHT,FAT,RCHT,RCAT,YCHT,YCAT,TPHT,TPAT,AHT,AAT,DAHT,DAAT,CCHT,CCAT
ROUND 24,02.03.2024,Bochum,RB Leipzig,1,4,1.59,1.93,44,56,15,10,11,6,12,17,2,5,4,2,22,19,1,3,13,10,1,0,3,2,312,443,147,69,58,25,0,0
ROUND 24,02.03.2024,Darmstadt,Augsburg,0,6,1.22,3.31,43,57,10,21,5,15,12,5,3,6,1,0,27,13,0,5,4,12,0,0,2,0,403,501,86,95,32,30,0,0
ROUND 24,02.03.2024,Heidenheim,Eintracht Frankfurt,1,2,1.18,2.22,53,47,16,11,13,5,11,8,7,3,1,1,30,19,5,2,6,10,0,0,1,4,389,309,128,92,57,20,0,0
ROUND 24,02.03.2024,Mainz,B. Monchengladbach,1,1,1.45,1.26,43,57,21,14,16,9,20,12,12,6,0,5,17,16,4,4,12,15,1,0,5,1,316,442,125,91,40,27,0,0
ROUND 24,02.03.2024,Union Berlin,Dortmund,0,2,1.34,1.75,42,58,13,12,8,5,9,17,8,7,4,1,10,14,5,5,11,8,0,0,2,1,349,591,94,136,53,48,0,0
ROUND 24,01.03.2024,Freiburg,Bayern Munich,2,2,1.42,1.93,43,57,17,21,11,12,7,14,3,6,3,0,10,16,7,4,11,7,0,0,1,2,386,625,89,126,39,73,0,0
ROUND 23,25.02.2024,Augsburg,Freiburg,2,1,2.10,1.07,62,38,21,5,12,4,14,15,10,2,1,3,21,13,0,7,16,11,0,0,3,1,486,255,102,71,51,20,0,0
ROUND 23,25.02.2024,Dortmund,Hoffenheim,2,3,2.73,1.16,65,35,19,7,12,2,10,9,10,3,0,1,25,15,2,5,7,10,0,0,2,3,696,302,135,77,75,29,0,0
ROUND 23,25.02.2024,Eintracht Frankfurt,Wolfsburg,2,2,1.44,1.33,56,44,12,14,7,6,9,14,5,3,5,2,24,19,6,3,9,7,0,0,2,1,512,380,139,111,51,42,0,0
ROUND 23,24.02.2024,Bayern Munich,RB Leipzig,2,1,1.65,1.09,56,44,15,11,11,6,10,14,6,4,3,0,15,13,4,2,11,10,0,0,3,3,599,483,120,89,59,42,0,0
ROUND 23,24.02.2024,B. Monchengladbach,Bochum,5,2,3.27,1.51,50,50,22,15,16,10,11,15,5,6,3,1,14,29,3,1,13,13,0,0,2,4,385,395,64,127,37,57,0,0
ROUND 23,24.02.2024,Stuttgart,FC Koln,1,1,1.68,1.27,67,33,13,12,8,6,14,11,9,4,0,1,20,22,5,4,11,13,0,0,1,0,854,280,168,77,67,31,0,0
